enumeration,size,extent,label_count,min,max,mean,stdev,ci95_min,ci95_max
122,3,13.812413185247536,3,4978.383454,5136.735058,5077.9384024,62.32656381784901,5000.549751980626,5155.327052819374
121,3,13.800694112978519,3,5069.830346,5269.077288,5135.8601923999995,81.38884151290641,5034.802598044439,5236.91778675556
120,3,13.736321814809084,2,4994.67593,5091.933243,5022.1002278,39.692651469672874,4972.81529148004,5071.385164119959
119,3,13.723295121799284,3,4864.911298,5011.083916,4916.2144732,62.28825258593225,4838.873392458021,4993.555553941978
118,3,13.713711496163246,3,4841.626767,5207.69863,4936.5699282,154.43654451414275,4744.811630882181,5128.328225517818
117,3,13.652613339577155,3,5149.42555,5297.191143,5194.7631132,60.84868950750711,5119.209486105529,5270.31674029447
116,3,13.622226983867213,2,4801.18661,5023.114307,4872.4317524,88.22628868211942,4762.884346055355,4981.979158744644
115,3,13.523326365950059,3,4902.235443,5044.026831,4979.9383104,54.412654159501265,4912.376076687799,5047.500544112201
114,3,13.428353957205626,3,4861.241608,4987.944341,4910.1763932,54.01108430308833,4843.112774321239,4977.2400120787615
113,3,13.392924923257054,3,4937.237592,5223.736497,5029.3063204,111.57607715143286,4890.766322349209,5167.846318450791
112,3,13.366897957267424,2,4951.849361,5010.051562,4974.2942518,21.459505090000533,4947.648756912197,5000.939746687803
111,3,13.31811720927549,3,5051.907129,5239.907434,5105.926925,77.40955888116682,5009.810262626629,5202.04358737337
110,3,13.299544841835756,2,5075.889114,5275.9672,5160.9584067999995,75.27149124130548,5067.4965060405975,5254.420307559401
109,3,13.298977479490663,3,5069.32976,5542.672844,5220.173939,188.43006037656272,4986.207116866172,5454.140761133828
108,3,13.284637556215074,3,4945.125901,5176.245139,5019.350719599999,94.61361638296663,4901.872398404996,5136.829040795003
107,3,13.145665217097228,2,4946.239075,5223.428265,5034.050767999999,111.87542649058967,4895.139078651915,5172.962457348083
106,3,13.142932169040519,3,5011.216109,5168.411713,5066.274196,60.89647972093287,4990.661229518057,5141.887162481944
105,3,12.991303475787177,3,4983.439798,5202.871303,5067.1729226,91.85807642086405,4953.11605617133,5181.22978902867
104,3,12.986418828915074,3,5186.442897,5320.788214,5236.2107148000005,53.20014746143592,5170.154007002271,5302.26742259773
103,3,12.830341110040681,2,5006.591536,5139.468167,5053.7870786,58.82618137953499,4980.744727033945,5126.829430166055
102,3,12.71866474910004,3,4888.912131,5049.116237,4933.2140297999995,66.10220969753067,4851.137295822161,5015.290763777838
101,3,12.667119404189732,3,4844.901572,5003.327642,4885.620313,66.27361000936125,4803.330757425695,4967.909868574306
100,3,12.661331288612582,2,5009.61366,5171.736291,5073.1772732,68.33275838224061,4988.330947224295,5158.0235991757045
99,3,12.604022611848967,2,4906.612111,5105.724099,4994.806843,91.18230202943455,4881.589061304022,5108.024624695979
98,3,12.577873786932352,3,5068.532899,5274.554166,5130.3947274,82.00826390317032,5028.568018562817,5232.221436237183
97,3,12.52615663322154,3,5018.735961,5236.202864,5078.1963168,94.04716127844578,4961.421342514834,5194.971291085167
96,3,12.407370833500543,2,5024.634239,5193.058352,5068.8072964,69.91173983888764,4982.000405995873,5155.614186804128
95,3,12.216960792275632,3,4963.851406,5215.705401,5031.315159,105.08980169116005,4900.828935670142,5161.801382329858
94,3,12.147144314611563,3,4902.818816,5243.850782,4987.880523,143.75799422920952,4809.381397123136,5166.379648876864
93,3,12.083738742624321,2,5090.634066,5171.316732,5116.386439600001,32.37154536570834,5076.191857155777,5156.5810220442245
92,3,12.082551303429257,2,4872.824797,5094.981068,4946.0188452,88.50685960119559,4836.123064046219,5055.914626353781
91,3,12.035348852442954,3,4879.181228,5014.034786,4919.4239858,55.68297521945197,4850.2844401616,4988.5635314384
90,3,12.008326028218923,3,4853.409897,5150.262101,4929.164913799999,125.06979571816392,4773.870251204086,5084.459576395912
89,3,11.865685188812321,2,5006.857146,5239.567551,5101.445681800001,116.95644501098779,4956.225074681339,5246.666288918663
88,3,11.852028560546081,3,5033.5233,5227.01393,5080.425868599999,82.4718755803358,4978.023509834171,5182.828227365828
87,3,11.842738661306344,3,4950.108523,5100.842849,4999.7665812,63.243886485855484,4921.238924249099,5078.2942381509
86,3,11.841845886516172,2,4808.470481,4963.896407,4863.8243974,60.30071814957945,4788.951166612671,4938.6976281873285
85,3,11.662092565230308,2,4948.078558,5154.309441,5008.739761000001,82.77816227504339,4905.957097072249,5111.522424927753
84,3,11.629923602500575,3,4784.09915,4927.319751,4835.1599028,56.015390236602684,4765.607609402368,4904.712196197632
83,3,11.629011393923388,2,4828.79987,5026.297619,4878.4271068,83.0740534450197,4775.277045459126,4981.577168140873
82,3,11.601640358156256,2,4773.499642,5049.99041,4857.9357296,110.26318017523643,4721.0259084577965,4994.845550742203
81,3,11.59296709216411,3,5032.138954,5260.745012,5128.605375600001,96.71433599678338,5008.5186664903695,5248.692084709633
80,3,11.570701361628865,2,4977.942529,5268.752311,5057.416671200001,123.2743792006103,4904.351312655571,5210.48202974443
79,3,11.482647908910208,2,4915.67448,5127.74403,4984.7992838,92.56989751941784,4869.858574740151,5099.739992859849
78,3,11.47871390879658,3,4981.192064,5179.537824,5029.1721902,84.3138017997436,4924.482777960333,5133.861602439667
77,3,11.425270106216304,3,5012.438276,5089.305932,5046.2870282,27.51068163305305,5012.128005252399,5080.446051147602
76,3,11.31890683767651,2,4990.908752,5223.192478,5051.782228,97.89008385367441,4930.235635105596,5173.328820894404
75,3,11.30275338136686,3,5187.489707,5307.804988,5249.8241958,47.800276629799875,5190.47231320843,5309.17607839157
